"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.0724,0.081851,0.0094514
"2",-0.070431,0.053798,0.12423
"3",-0.039224,0.19565,0.23487
"4",0.12687,0.055324,-0.071547
"5",0.065411,0.042298,-0.023112
"6",0.088382,0.097529,0.0091474
"7",0.068508,0.070025,0.0015165
"8",0.045614,0.1366,0.090983
"9",0.016649,0.040227,0.023578
"10",0.11683,0.19773,0.080899
"11",0.16853,0.14042,-0.028108
"12",0.041415,0.10011,0.058693
"13",0.017149,0.081719,0.06457
"14",-0.026404,0.03349,0.059894
"15",0.11253,0.091348,-0.021182
"16",0.069625,0.08466,0.015035
"17",0.37656,0.26263,-0.11393
"18",0.033418,0.075343,0.041925
"19",0.002773,0.034748,0.031975
"20",-0.023328,-0.06779,-0.044462
"21",0.13453,0.1157,-0.01883
"22",0.13069,0.14235,0.011657
"23",0.19159,0.25655,0.064961
"24",0.062227,0.11703,0.054804
"25",0.15879,0.19014,0.031354
"26",0.037534,0.091381,0.053848
"27",0.10765,0.18813,0.080481
"28",0.1054,0.084652,-0.020746
"29",0.16496,0.22809,0.063135
"30",0.094097,0.2379,0.1438
"31",0.080933,0.0039085,-0.077025
"32",-0.10693,0.10495,0.21189
"33",0.097142,0.14904,0.051899
"34",0.11827,0.017631,-0.10064
"35",-0.071126,0.077123,0.14825
"36",0.0074631,0.063729,0.056265
"37",-0.028915,0.052226,0.08114
"38",0.054204,0.0725,0.018295
"39",0.14422,0.075989,-0.06823
"40",-0.0026425,0.11374,0.11638
"41",0.020368,0.079556,0.059188
