"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.072513,0.086411,0.013898
"2",-0.07864,0.08752,0.16616
"3",-0.01287,0.2337,0.24657
"4",0.22832,0.11677,-0.11155
"5",0.063656,0.11253,0.048877
"6",0.10325,0.093506,-0.0097448
"7",0.076161,0.046342,-0.029818
"8",0.052024,0.25783,0.20581
"9",0.018621,0.065862,0.047241
"10",0.13106,0.23968,0.10861
"11",0.14397,0.14297,-0.00099682
"12",-0.01652,0.057254,0.073774
"13",-0.05798,0.012179,0.070159
"14",-0.052656,0.0010002,0.053656
"15",0.12546,0.086239,-0.039219
"16",0.030817,0.11843,0.087608
"17",0.4252,0.31282,-0.11238
"18",-0.0418,0.018137,0.059938
"19",0.053508,0.080409,0.0269
"20",0.049914,-0.029864,-0.079779
"21",0.11894,0.097686,-0.021258
"22",0.15728,0.18675,0.029469
"23",0.11986,0.16784,0.047981
"24",0.061608,0.12895,0.06734
"25",0.12803,0.16336,0.035332
"26",0.05213,0.15006,0.097935
"27",0.14955,0.20224,0.052685
"28",0.14044,0.11924,-0.021196
"29",0.24089,0.38435,0.14346
"30",0.1537,0.32099,0.16729
"31",0.082823,0.014405,-0.068418
"32",-0.088888,0.11647,0.20536
"33",0.13904,0.15576,0.016717
"34",0.14096,0.063631,-0.077328
"35",-0.012296,0.15784,0.17013
"36",0.013273,0.050904,0.03763
"37",0.0069004,0.044135,0.037234
"38",0.11379,0.11633,0.002541
"39",0.18074,0.076228,-0.10451
"40",-0.025911,0.14585,0.17176
"41",0.089865,0.1207,0.030837
