"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.050644,0.069982,0.019338
"2",-0.10552,0.0050172,0.11054
"3",-0.028552,0.13598,0.16453
"4",0.1046,0.029639,-0.074957
"5",0.023128,-0.046365,-0.069493
"6",0.11777,0.061533,-0.056239
"7",0.050796,0.040662,-0.010134
"8",0.12107,0.098287,-0.022781
"9",-0.012219,-0.0054753,0.0067441
"10",0.11248,0.16811,0.055632
"11",0.1799,0.111,-0.068896
"12",0.06487,0.05595,-0.0089196
"13",0.016259,0.087371,0.071112
"14",-0.039926,-0.070072,-0.030146
"15",0.13325,0.050997,-0.082252
"16",0.10287,0.10648,0.0036104
"17",0.30391,0.1838,-0.12011
"18",0.0098039,0.004115,-0.0056889
"19",0.001664,0.02997,0.028306
"20",-0.082642,-0.10079,-0.018147
"21",0.086442,0.042201,-0.04424
"22",0.13186,0.1144,-0.017458
"23",0.20311,0.20552,0.0024041
"24",0.043351,0.044549,0.0011973
"25",0.22235,0.20966,-0.012695
"26",0.022448,0.053558,0.03111
"27",0.06656,0.10618,0.039615
"28",0.090088,0.074634,-0.015454
"29",0.16069,0.15318,-0.0075075
"30",0.043346,0.1355,0.092157
"31",0.026556,-0.078308,-0.10486
"32",-0.1189,0.086427,0.20533
"33",0.11102,0.12902,0.018003
"34",0.078723,-0.032318,-0.11104
"35",-0.073672,0.035826,0.1095
"36",0.012991,0.06738,0.054389
"37",0.014546,0.043298,0.028753
"38",0.05024,0.038528,-0.011712
"39",0.11578,0.029944,-0.08584
"40",-0.0075692,0.066854,0.074423
"41",-0.0081395,0.096358,0.1045
