"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.10091,0.10407,0.0031594
"2",0.010687,0.17371,0.16303
"3",-0.050667,0.31487,0.36554
"4",0.22294,0.14707,-0.075862
"5",0.27202,0.31562,0.0436
"6",0.14959,0.23641,0.08682
"7",0.14288,0.1478,0.0049219
"8",-0.062313,0.18906,0.25137
"9",0.041255,0.062183,0.020927
"10",0.15533,0.29736,0.14203
"11",0.23315,0.21201,-0.021134
"12",0.064559,0.1561,0.091541
"13",0.052003,0.17664,0.12463
"14",0.011832,0.076798,0.064965
"15",0.17074,0.17945,0.0087187
"16",0.074161,0.19885,0.12469
"17",0.54186,0.44712,-0.094744
"18",0.067759,0.12835,0.06059
"19",0.065631,0.12702,0.061389
"20",0.19383,0.084048,-0.10978
"21",0.18022,0.18552,0.0052972
"22",0.21883,0.2518,0.032976
"23",0.19311,0.31835,0.12524
"24",0.14143,0.22383,0.082397
"25",0.13717,0.19293,0.055766
"26",0.11936,0.18714,0.067784
"27",0.21126,0.3362,0.12494
"28",0.21617,0.16967,-0.0465
"29",0.24248,0.40251,0.16003
"30",0.062307,0.27139,0.20908
"31",0.13476,0.11005,-0.024706
"32",-0.072162,0.19033,0.26249
"33",0.10572,0.16242,0.056703
"34",0.18666,0.10594,-0.080716
"35",-0.0096928,0.15957,0.16926
"36",0.030523,0.1084,0.077878
"37",0.045589,0.12111,0.075523
"38",0.14052,0.21412,0.073599
"39",0.32103,0.25742,-0.063605
"40",0.065915,0.24909,0.18318
"41",0.08369,0.11009,0.026404
