"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.064638,0.090625,0.025987
"2",-0.047525,0.060937,0.10846
"3",-0.068578,0.24824,0.31682
"4",0.046122,0.014774,-0.031348
"5",-0.032938,-0.0014319,0.031506
"6",0.053187,0.15575,0.10257
"7",0.04537,0.064934,0.019564
"8",-0.044499,0.04105,0.085549
"9",0.0092561,0.030197,0.020941
"10",0.13316,0.20466,0.071503
"11",0.2088,0.22071,0.011906
"12",-0.021683,0.14807,0.16975
"13",0.048807,0.14613,0.097322
"14",-0.036037,0.087698,0.12373
"15",0.025396,0.068209,0.042813
"16",0.11803,0.078223,-0.039803
"17",0.51801,0.36093,-0.15707
"18",0.11434,0.18334,0.068992
"19",-0.069779,0.022701,0.09248
"20",-0.11017,-0.17501,-0.064834
"21",0.19406,0.18903,-0.0050292
"22",0.094489,0.18965,0.095157
"23",0.30038,0.45597,0.15559
"24",-0.013056,0.081263,0.094319
"25",0.23057,0.33849,0.10793
"26",0.0074657,0.082609,0.075144
"27",0.064868,0.19808,0.13322
"28",0.14599,0.12433,-0.02166
"29",0.15891,0.21357,0.05466
"30",0.18584,0.33101,0.14517
"31",0.13872,0.073034,-0.065686
"32",-0.18829,0.073583,0.26187
"33",0.014109,0.19635,0.18224
"34",0.10758,0.028997,-0.078582
"35",-0.13925,0.036478,0.17573
"36",-0.020877,0.083729,0.10461
"37",-0.12384,0.10737,0.23121
"38",0.028636,0.073601,0.044965
"39",0.1095,0.098484,-0.011019
"40",-0.014584,0.15434,0.16893
"41",-0.057617,0.052,0.10962
