"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.070506,0.036069,-0.034437
"2",-0.15104,-0.03121,0.11983
"3",-0.05411,0.093241,0.14735
"4",0.066664,-0.018103,-0.084767
"5",0.005086,-0.082669,-0.087755
"6",0.076075,-0.0016195,-0.077695
"7",0.040343,0.061235,0.020892
"8",0.17255,0.16479,-0.0077592
"9",-0.021249,0.01518,0.03643
"10",0.071121,0.10164,0.030516
"11",0.13058,0.06528,-0.0653
"12",0.1112,0.096674,-0.014527
"13",0.017954,0.0087142,-0.0092401
"14",-0.014148,0.10028,0.11443
"15",0.10147,0.06364,-0.037827
"16",0.051399,0.019819,-0.03158
"17",0.16476,0.085132,-0.079625
"18",-0.011389,0.0021703,0.013559
"19",-0.018416,-0.031434,-0.013017
"20",-0.055098,-0.073368,-0.018271
"21",0.06861,0.038107,-0.030504
"22",0.098347,0.061066,-0.037281
"23",0.084459,0.069093,-0.015366
"24",0.044639,0.077106,0.032467
"25",0.13857,0.12803,-0.010542
"26",-0.0074889,0.01428,0.021769
"27",0.10514,0.14688,0.041737
"28",0.041525,0.0022678,-0.039257
"29",0.063179,0.08877,0.025591
"30",-0.0012624,0.13371,0.13497
"31",0.031517,-0.050224,-0.081741
"32",-0.070171,0.06852,0.13869
"33",0.11106,0.075179,-0.035879
"34",0.078304,-0.082241,-0.16055
"35",-0.078813,0.074699,0.15351
"36",0.0039012,0.011655,0.0077541
"37",-0.054575,-0.0029762,0.051599
"38",0.011009,-0.0026671,-0.013676
"39",0.11249,-0.010271,-0.12276
"40",-0.025582,-0.0020474,0.023534
"41",0.010953,0.037812,0.026859
