"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.072543,0.083028,0.010485
"2",-0.085684,-0.019137,0.066547
"3",-0.038949,0.10417,0.14312
"4",0.039792,0.0067053,-0.033087
"5",0.03876,-0.037993,-0.076753
"6",0.015004,0.0039436,-0.01106
"7",0.064049,0.058142,-0.0059071
"8",-0.015153,0.098037,0.11319
"9",0.0078552,0.014918,0.0070632
"10",0.073534,0.10925,0.035715
"11",0.11205,0.080166,-0.031887
"12",0.05863,0.094146,0.035516
"13",-0.0095562,0.014479,0.024036
"14",-0.048752,-0.015062,0.03369
"15",0.094843,0.057657,-0.037186
"16",0.033547,0.02329,-0.010257
"17",0.22358,0.12526,-0.098315
"18",0.003697,0.015689,0.011992
"19",-0.0049126,-0.0288,-0.023887
"20",-0.027927,-0.020939,0.0069882
"21",0.11748,0.096978,-0.020498
"22",0.070226,-0.011629,-0.081855
"23",0.14355,0.19889,0.055346
"24",0.018051,0.064708,0.046657
"25",0.10415,0.094704,-0.0094469
"26",-0.0041489,0.0083054,0.012454
"27",0.061286,0.13151,0.070221
"28",0.03635,0.053911,0.017561
"29",0.076567,0.086007,0.0094405
"30",0.036779,0.12487,0.08809
"31",0.010389,-0.095887,-0.10628
"32",-0.12773,0.042386,0.17012
"33",0.049693,0.090518,0.040825
"34",0.058009,-0.062637,-0.12065
"35",-0.0747,0.023069,0.097769
"36",0.02754,0.051733,0.024194
"37",-0.05421,-0.021159,0.033051
"38",-0.0066003,-0.019636,-0.013035
"39",0.076653,0.043532,-0.033121
"40",-0.0060318,0.066284,0.072316
"41",-0.056587,0.0055166,0.062104
