"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.1002,0.17253,0.072333
"2",0.032136,0.16859,0.13645
"3",-0.021293,0.2998,0.32109
"4",0.29757,0.20705,-0.090513
"5",0.25784,0.21361,-0.044237
"6",0.17016,0.19462,0.024461
"7",0.14602,0.16457,0.018551
"8",0.11235,0.13308,0.020722
"9",0.15094,0.15714,0.0062003
"10",0.17077,0.33419,0.16342
"11",0.21925,0.192,-0.027252
"12",0.032626,0.11622,0.083598
"13",0.13433,0.25313,0.11879
"14",0.050986,0.075298,0.024312
"15",0.22965,0.2412,0.01155
"16",0.076917,0.14277,0.065856
"17",0.63714,0.49675,-0.1404
"18",0.15321,0.27443,0.12121
"19",0.0091454,0.10702,0.097879
"20",0.086679,-0.03778,-0.12446
"21",0.2199,0.23027,0.010375
"22",0.20168,0.27352,0.071833
"23",0.36277,0.45443,0.091661
"24",0.2276,0.28749,0.05989
"25",0.16787,0.23941,0.071541
"26",0.14888,0.2336,0.084719
"27",0.19425,0.3521,0.15785
"28",0.08442,0.045325,-0.039096
"29",0.3744,0.51378,0.13939
"30",0.14025,0.32626,0.18601
"31",0.26925,0.20575,-0.063492
"32",-0.037037,0.27788,0.31491
"33",0.19659,0.3401,0.14351
"34",0.27213,0.22145,-0.050681
"35",0.013624,0.19579,0.18217
"36",0.016164,0.11836,0.1022
"37",0.050126,0.15504,0.10491
"38",0.093496,0.20702,0.11352
"39",0.18718,0.14692,-0.040261
"40",0.034913,0.1813,0.14639
"41",0.17416,0.22258,0.048415
