"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.058019,0.11393,0.055915
"2",-0.019569,0.097076,0.11665
"3",-0.016673,0.26972,0.2864
"4",0.20135,0.1398,-0.061552
"5",0.24583,0.18536,-0.060471
"6",0.10948,0.16346,0.053975
"7",0.13123,0.17163,0.040404
"8",0.014689,0.14761,0.13292
"9",0.10118,0.1123,0.011121
"10",0.15994,0.2211,0.061167
"11",0.27805,0.15438,-0.12367
"12",0.018178,0.093949,0.075771
"13",0.080613,0.16256,0.081948
"14",0.04922,0.044657,-0.0045631
"15",0.13872,0.1398,0.0010839
"16",-0.0080279,0.062542,0.07057
"17",0.50743,0.40611,-0.10132
"18",0.088385,0.11689,0.028509
"19",-0.023349,0.049244,0.072593
"20",0.11683,0.025322,-0.091508
"21",0.1408,0.14352,0.0027173
"22",0.093257,0.12809,0.034838
"23",0.22951,0.24439,0.014887
"24",0.23863,0.23764,-0.00098429
"25",0.08988,0.11791,0.028033
"26",0.13442,0.15399,0.019565
"27",0.17548,0.30247,0.12699
"28",0.13487,0.082278,-0.052593
"29",0.24865,0.33462,0.08597
"30",0.12117,0.26367,0.14249
"31",0.1339,0.10557,-0.028334
"32",-0.039212,0.18111,0.22032
"33",0.1181,0.22978,0.11169
"34",0.15247,0.10932,-0.04315
"35",-0.008273,0.13897,0.14724
"36",0.0042851,0.087346,0.083061
"37",0.026651,0.087919,0.061268
"38",0.10294,0.17706,0.074125
"39",0.24903,0.21167,-0.037361
"40",0.11901,0.13816,0.019146
"41",0.14869,0.13787,-0.010814
