"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.13428,0.2231,0.088821
"2",0.051955,0.18644,0.13449
"3",-0.022859,0.36173,0.38459
"4",0.32322,0.24681,-0.076401
"5",0.36123,0.30794,-0.053292
"6",0.1625,0.23536,0.072861
"7",0.20352,0.25334,0.049813
"8",0.098149,0.23682,0.13867
"9",0.12046,0.13982,0.019353
"10",0.22526,0.35006,0.1248
"11",0.35407,0.20072,-0.15336
"12",0.025664,0.12288,0.09722
"13",0.14142,0.25085,0.10943
"14",0.090684,0.11424,0.023558
"15",0.2246,0.23564,0.01104
"16",0.0017001,0.076527,0.074827
"17",0.75763,0.61548,-0.14215
"18",0.1396,0.19898,0.059378
"19",-0.016784,0.093249,0.11003
"20",0.2471,0.09379,-0.15331
"21",0.22366,0.2335,0.0098404
"22",0.14422,0.18167,0.037451
"23",0.31465,0.37265,0.057998
"24",0.34891,0.37972,0.03081
"25",0.13011,0.20312,0.073015
"26",0.19403,0.24201,0.047977
"27",0.23643,0.42446,0.18803
"28",0.1703,0.14,-0.030296
"29",0.35573,0.5106,0.15487
"30",0.14784,0.31473,0.16689
"31",0.15458,0.13421,-0.020371
"32",-0.066334,0.22221,0.28855
"33",0.18176,0.34268,0.16092
"34",0.24168,0.19068,-0.051004
"35",0.0056018,0.24997,0.24437
"36",-0.013449,0.12305,0.1365
"37",0.12419,0.18459,0.060398
"38",0.16061,0.30118,0.14057
"39",0.3728,0.37759,0.004784
"40",0.15147,0.25046,0.098995
"41",0.21464,0.23767,0.023038
