"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",-0.029025,-0.010668,0.018357
"2",-0.10096,-0.0046215,0.09634
"3",-0.0083042,0.14525,0.15355
"4",0.065313,0.020338,-0.044975
"5",0.082349,0.011707,-0.070643
"6",0.044658,0.075543,0.030885
"7",0.039734,0.068229,0.028495
"8",-0.081589,0.044698,0.12629
"9",0.078097,0.079364,0.0012673
"10",0.075394,0.054209,-0.021185
"11",0.18644,0.098548,-0.087893
"12",0.0089251,0.058184,0.049259
"13",-0.0024362,0.041982,0.044418
"14",0.0033029,-0.032401,-0.035704
"15",0.04403,0.034137,-0.0098929
"16",-0.018946,0.046847,0.065792
"17",0.18825,0.13902,-0.049235
"18",0.024711,0.014842,-0.0098687
"19",-0.031389,-0.0046494,0.02674
"20",-0.039917,-0.057062,-0.017145
"21",0.042139,0.036374,-0.0057648
"22",0.024617,0.055935,0.031318
"23",0.10161,0.051744,-0.049867
"24",0.088929,0.044786,-0.044143
"25",0.036681,0.0052278,-0.031453
"26",0.054159,0.035462,-0.018697
"27",0.107,0.1654,0.058398
"28",0.083999,-0.00061452,-0.084613
"29",0.11941,0.12222,0.0028097
"30",0.083747,0.19201,0.10826
"31",0.10972,0.072068,-0.03765
"32",-0.0057372,0.13037,0.13611
"33",0.030351,0.074173,0.043822
"34",0.044306,0.010679,-0.033627
"35",-0.021053,0.036719,0.057772
"36",0.018184,0.059361,0.041177
"37",-0.090399,-0.028087,0.062312
"38",0.034051,0.028821,-0.0052299
"39",0.098288,0.0095994,-0.088688
"40",0.078452,-0.0021904,-0.080643
"41",0.062339,0.0072022,-0.055136
