"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.13665,0.2119,0.075248
"2",0.032853,0.1683,0.13544
"3",-0.016701,0.35823,0.37493
"4",0.268,0.15729,-0.11071
"5",0.25153,0.28404,0.032508
"6",0.12898,0.26358,0.1346
"7",0.16117,0.17092,0.0097482
"8",-0.055875,0.20121,0.25709
"9",0.075159,0.11384,0.03868
"10",0.18968,0.36324,0.17356
"11",0.27973,0.26572,-0.01401
"12",0.058823,0.18821,0.12939
"13",0.059998,0.18945,0.12946
"14",0.0071461,0.10078,0.093638
"15",0.18321,0.17743,-0.0057742
"16",0.11404,0.14389,0.029843
"17",0.64116,0.52948,-0.11168
"18",0.15047,0.21679,0.066322
"19",0.079506,0.17584,0.096336
"20",0.15144,0.051274,-0.10017
"21",0.22717,0.24069,0.013523
"22",0.19062,0.27614,0.085528
"23",0.27685,0.43127,0.15442
"24",0.18983,0.23896,0.049126
"25",0.15005,0.23117,0.081115
"26",0.13668,0.21111,0.074432
"27",0.19823,0.33784,0.13961
"28",0.22254,0.19805,-0.024491
"29",0.20575,0.35036,0.14461
"30",0.18318,0.3262,0.14302
"31",0.13526,0.12133,-0.013922
"32",-0.048201,0.24397,0.29217
"33",0.12944,0.24834,0.1189
"34",0.20638,0.14586,-0.06052
"35",-0.018064,0.17134,0.1894
"36",-0.023741,0.096184,0.11993
"37",-0.022008,0.16764,0.18965
"38",0.18066,0.27282,0.092164
"39",0.33326,0.2573,-0.075958
"40",0.037744,0.19909,0.16134
"41",0.08022,0.13518,0.054964
