"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.15228,0.18514,0.032859
"2",0.017772,0.17703,0.15926
"3",-0.0068364,0.36417,0.37101
"4",0.29032,0.17431,-0.11601
"5",0.37449,0.36281,-0.011682
"6",0.11282,0.25139,0.13858
"7",0.16086,0.17639,0.015527
"8",-0.03223,0.27332,0.30555
"9",0.066484,0.097357,0.030873
"10",0.16878,0.33622,0.16744
"11",0.28939,0.25286,-0.036526
"12",0.081665,0.17785,0.096189
"13",0.073815,0.24603,0.17221
"14",0.029869,0.12196,0.09209
"15",0.20564,0.21571,0.01007
"16",0.0911,0.23101,0.13991
"17",0.60095,0.5088,-0.092148
"18",0.13939,0.19804,0.058649
"19",0.08186,0.14469,0.062833
"20",0.29293,0.14668,-0.14624
"21",0.18486,0.1887,0.0038367
"22",0.18882,0.24696,0.058133
"23",0.23575,0.37038,0.13463
"24",0.16252,0.19913,0.03661
"25",0.078733,0.14811,0.069377
"26",0.16451,0.20738,0.042872
"27",0.23683,0.42687,0.19004
"28",0.26714,0.22996,-0.037181
"29",0.17952,0.35362,0.1741
"30",0.1388,0.30104,0.16224
"31",0.084148,0.081828,-0.0023199
"32",-0.052541,0.24588,0.29842
"33",0.10457,0.17678,0.072215
"34",0.22766,0.14641,-0.081253
"35",0.008925,0.20271,0.19378
"36",0.033947,0.11407,0.080121
"37",0.086818,0.18785,0.10103
"38",0.18253,0.25978,0.077256
"39",0.36633,0.30877,-0.057557
"40",0.093407,0.25625,0.16284
"41",0.11368,0.14471,0.031025
