"","READvsCONTENT_reading","SHAREvsCONTENT_reading","SHAREvsREAD_reading"
"1",0.10644,0.26361,0.15717
"2",0.062276,0.15125,0.088977
"3",-0.040588,0.34385,0.38444
"4",0.21932,0.12015,-0.099163
"5",-0.0010732,0.12222,0.12329
"6",0.16274,0.28905,0.12631
"7",0.16177,0.1603,-0.0014686
"8",-0.10084,0.064082,0.16492
"9",0.094391,0.15038,0.055988
"10",0.2426,0.43165,0.18905
"11",0.26031,0.29159,0.031277
"12",0.013817,0.20863,0.19481
"13",0.035856,0.090607,0.05475
"14",-0.035383,0.061151,0.096534
"15",0.13785,0.10005,-0.037805
"16",0.15721,-0.020016,-0.17723
"17",0.72827,0.57428,-0.15398
"18",0.17191,0.25308,0.081169
"19",0.073832,0.25094,0.17711
"20",-0.063141,-0.093431,-0.03029
"21",0.3048,0.33609,0.031297
"22",0.19437,0.33731,0.14293
"23",0.38973,0.59849,0.20876
"24",0.25787,0.33818,0.080306
"25",0.32354,0.43321,0.10967
"26",0.068482,0.22025,0.15177
"27",0.12463,0.16813,0.043491
"28",0.13407,0.13476,0.00068504
"29",0.25693,0.344,0.087069
"30",0.29966,0.39224,0.092584
"31",0.24393,0.20534,-0.038592
"32",-0.038328,0.23962,0.27794
"33",0.19273,0.43046,0.23773
"34",0.16139,0.14472,-0.016668
"35",-0.050714,0.13339,0.1841
"36",-0.090772,0.075405,0.16618
"37",-0.22285,0.13034,0.35319
"38",0.17677,0.29998,0.12321
"39",0.27214,0.16218,-0.10996
"40",-0.076325,0.08195,0.15828
"41",0.00043248,0.11247,0.11204
