"","readxrating","sharexrating"
"1",0.00057746,0.12553
"2",0.066461,0.029189
"3",0.0064328,-0.031349
"4",0.071054,0.012879
"5",0.046356,0.016648
"6",0.040876,0.01664
"7",0.026558,0.039633
"8",0.12595,0.19062
"9",0.080595,0.030844
"10",0.051195,0.0099032
"11",0.037487,0.053214
"12",-0.08001,-0.098986
"13",0.05074,0.054357
"14",0.076129,-0.10551
"15",0.11777,0.051782
"16",0.0036948,0.038368
"17",0.061319,0.13109
"18",0.030863,0.041124
"19",0.035967,0.10534
"20",0.0039204,0
"21",0.088234,0.18125
"22",0.0061071,-0.023113
"23",-0.014546,0.086575
"24",-0.02141,-0.0066907
"25",0.042342,0.035284
"26",-0.003308,0.0026046
"27",-0.12422,-0.023571
"28",-0.019672,0.093545
"29",-0.023459,0.15989
"30",0.084874,0.15355
"31",0.13958,0.22673
"32",0.027638,-0.027853
"33",0.017325,0.032887
"34",0.18273,0.023327
"35",0.13438,0.15878
"36",0.13085,-0.034897
"37",-0.0017808,0.2887
"38",0.040029,0.09464
"39",0.044276,0
"40",0.08913,0.084629
"41",0.085376,0.032393
