"","readxrating","sharexrating"
"1",0.0050764,0.08704
"2",-0.0027416,0.0011174
"3",-0.0016947,-0.0078626
"4",0.053181,0.00042882
"5",-0.0095714,0.012494
"6",0.021026,0.010813
"7",-0.0025003,0.034342
"8",0.0066856,0.11183
"9",0.05151,0.040218
"10",0.035576,-0.0020414
"11",0.023019,0.072665
"12",0.011163,-0.11102
"13",0.0044349,0.040516
"14",0.092477,-0.0011048
"15",0.087591,0.024358
"16",0.088417,0.027475
"17",0.035644,0.15701
"18",0.013952,0.011163
"19",0.021548,0.050169
"20",-0.084364,0
"21",0.053022,0.13316
"22",0.0095299,-0.0058018
"23",0.028052,0.065938
"24",0.014885,0.034357
"25",-0.02277,0.00058678
"26",-0.0046568,-0.0076826
"27",-0.097956,0.0076825
"28",0.0075908,0.060556
"29",-0.013446,0.054865
"30",0.00079206,0.10361
"31",0.038217,0.14756
"32",0.022908,0.020428
"33",0.018362,0.0095816
"34",0.13461,-0.019166
"35",0.11652,0.12826
"36",0.048921,0.003254
"37",-0.047667,0.14373
"38",0.062076,0.063848
"39",0.029687,0
"40",0.00070157,0.038909
"41",0.042499,0.00078318
