"","readxrating","sharexrating"
"1",0.028107,0.094382
"2",0.074728,0.041018
"3",-0.025752,-0.075082
"4",0.051118,0.0011232
"5",0.078513,0.045995
"6",0.058071,0.0024629
"7",0.046953,0.081212
"8",0.092263,0.28431
"9",0.050808,0.05634
"10",0.02457,0.024521
"11",0.088832,0.071504
"12",0.036827,-0.09316
"13",0.043039,0.027184
"14",0.095149,-0.056876
"15",0.095837,0.0307
"16",0.048951,0.071713
"17",0.053359,0.13714
"18",0.041498,0.047487
"19",-0.0038504,0.10042
"20",-0.0055218,0
"21",0.058183,0.033171
"22",0.034464,-0.032597
"23",-0.027163,0.081709
"24",-0.012169,-0.024283
"25",0.13774,-0.0066555
"26",-0.01819,0.0041071
"27",-0.15474,-0.017596
"28",0.0076042,0.10666
"29",-0.033544,0.13076
"30",0.13575,0.18498
"31",0.14409,0.21871
"32",0.022653,-0.041377
"33",0.00052923,0.012961
"34",0.13765,0.038748
"35",0.12798,0.13499
"36",0.14956,-0.038616
"37",0.015474,0.37976
"38",0.1084,0.12125
"39",0.1119,0
"40",0.10481,0.087339
"41",0.096458,0.016135
