"","readxrating","sharexrating"
"1",-0.0037075,0.089323
"2",0.0053319,0.069981
"3",-0.041514,-0.13387
"4",-0.037302,-0.032905
"5",-0.052246,0.033629
"6",-0.0080972,0.055047
"7",0.018339,0.040985
"8",-0.087171,0.37519
"9",0.056783,0.00028094
"10",0.0095311,0.0061683
"11",0.050125,0.020727
"12",0.013798,-0.17554
"13",0.014587,0.042382
"14",-0.014355,-0.076421
"15",0.1144,0.018641
"16",0.11305,0.036901
"17",0.099387,0.032735
"18",-0.0071968,0.0042621
"19",-0.018876,0.064752
"20",-0.088222,0
"21",-0.017445,0.11694
"22",-0.1049,-0.034846
"23",-0.047849,-0.075491
"24",-0.026297,0.08049
"25",0.10386,-0.014398
"26",-0.010741,-0.020332
"27",-0.12054,-0.005259
"28",-0.0052668,0.065236
"29",-0.047028,0.093318
"30",0.018478,0.11222
"31",0.07424,0.21089
"32",-0.0022141,-0.044145
"33",-0.074367,-0.11389
"34",0.20799,0.010621
"35",0.19906,0.16375
"36",0.068431,0.0044466
"37",-0.069145,0.43134
"38",0.022143,0.016053
"39",0.067905,0
"40",0.021479,0.08124
"41",0.069023,-0.03567
