"","readxrating","sharexrating"
"1",0.0072589,-0.0091516
"2",0.032475,0.032304
"3",-0.011296,-0.017914
"4",0.041644,-0.017688
"5",0.0012355,-0.033967
"6",0.0084415,0.019891
"7",0.041939,0.023732
"8",-0.092029,0.26861
"9",0.086061,0.0554
"10",0.03016,-0.0052747
"11",0.03038,0.04161
"12",0.016889,-0.13191
"13",0.011213,0.0018872
"14",0.11537,-0.10135
"15",0.055859,0.015061
"16",0.094975,0.021447
"17",0.021837,0.098662
"18",0.045923,0.014751
"19",0.050682,0.033861
"20",-0.038885,0
"21",0.021911,0.042264
"22",0.029962,0.01621
"23",0.020291,-0.0079624
"24",0.022478,-0.010036
"25",-0.022447,0.013843
"26",0.0028331,0.0027794
"27",-0.12679,-0.082387
"28",-0.017977,0.054551
"29",-0.012422,0.024993
"30",0.064312,0.12413
"31",0.092019,0.1518
"32",0.099261,-0.0088058
"33",0.0026287,-0.019122
"34",0.15855,-0.024322
"35",0.079543,0.11425
"36",0.091186,0.0029761
"37",-0.058393,0.13437
"38",-0.0058891,0.062095
"39",0.0031936,0
"40",0.031091,-0.00041417
"41",0.023115,-0.02007
