"","readxrating","sharexrating"
"1",0.025433,-0.055464
"2",0.017728,0.03209
"3",-0.038402,-0.065906
"4",0.011483,-0.017029
"5",-0.010436,-0.027
"6",-0.0096573,0.0020541
"7",-0.010256,0.0096099
"8",-0.000158,0.18838
"9",0.054276,-0.0052724
"10",0.024163,0.0091854
"11",0.0031519,0.022609
"12",-0.0069925,-0.11985
"13",0.018321,0.007881
"14",-0.0073536,-0.055736
"15",0.073411,0.027537
"16",0.03819,-0.026483
"17",0.018189,0.099986
"18",0.016198,0.0048714
"19",0.02118,0.0038206
"20",-0.10824,0
"21",-0.015061,0.024315
"22",-0.14146,0.017969
"23",-0.026561,-0.048861
"24",-0.015723,-0.032122
"25",0.031549,-0.032654
"26",0.0037629,-0.013222
"27",-0.11421,-0.01641
"28",-0.0155,0.043905
"29",-0.012751,0.017508
"30",0.034387,0.053606
"31",0.043679,0.11481
"32",0.052721,0.00059479
"33",-0.02842,-0.027036
"34",0.18086,-0.0043535
"35",0.093656,0.10437
"36",0.060652,0.031695
"37",-0.060707,0.21522
"38",-0.032046,-0.0038353
"39",0.0028668,0
"40",0.0080856,-0.017132
"41",0.026028,-0.043517
