"","readxrating","sharexrating"
"1",-0.0044808,0.14227
"2",0.011732,0.020684
"3",-0.0067933,-0.078575
"4",0.078972,-0.060055
"5",0.07396,0.011951
"6",0.029175,0.006493
"7",0.05185,0.082296
"8",0.068183,0.059201
"9",0.041096,0.026546
"10",0.018219,0.039294
"11",0.1687,0.077535
"12",0.00072547,-0.092509
"13",0.024766,-0.041726
"14",0.12785,-0.00060567
"15",0.087081,-0.0090629
"16",0.1173,-0.028233
"17",0.088662,0.10181
"18",0.094864,0.068101
"19",-0.01425,0.13328
"20",0.057067,0
"21",0.054314,0.17853
"22",0.063763,-0.040089
"23",-0.012391,0.030884
"24",0.0024923,0.016235
"25",0.09501,-0.036474
"26",-0.0049321,0.020199
"27",-0.15966,-0.023339
"28",-0.0072536,0.10701
"29",0.036227,0.16294
"30",0.14135,0.15392
"31",0.1715,0.26084
"32",-0.032163,-0.048869
"33",0.016126,0.022499
"34",0.13266,0.034957
"35",0.059316,0.14554
"36",0.073765,0.0033094
"37",-0.00035381,0.26167
"38",0.087694,0.087347
"39",0.16044,0
"40",0.088039,0.077406
"41",0.064748,0.0099494
