"","readxrating","sharexrating"
"1",0.011325,0.14581
"2",0.070353,0.036517
"3",-0.022062,-0.068608
"4",0.079849,-0.0074693
"5",0.045537,0.058125
"6",0.061123,0.020228
"7",0.049885,0.088493
"8",0.050584,0.35971
"9",0.05009,0.0338
"10",0.0096957,0.029129
"11",0.085041,0.070407
"12",0.042459,-0.12462
"13",0.046195,0.054296
"14",0.078996,-0.046586
"15",0.10394,0.019545
"16",0.10269,0.055245
"17",0.077381,0.13634
"18",0.056816,0.051815
"19",-0.010577,0.12426
"20",-0.014801,0
"21",0.052587,0.028723
"22",0.045052,-0.064986
"23",-0.0015348,0.035585
"24",0.0072811,-0.00039086
"25",0.13627,-0.010431
"26",-0.013324,0.0086902
"27",-0.15657,-0.019544
"28",0.028943,0.10057
"29",-0.027889,0.11853
"30",0.1515,0.17578
"31",0.12839,0.19907
"32",-0.01193,-0.044163
"33",-0.0015485,-0.027563
"34",0.15387,0.04496
"35",0.15001,0.14734
"36",0.14123,-0.030218
"37",-0.027354,0.49752
"38",0.13399,0.1089
"39",0.11242,0
"40",0.093862,0.092614
"41",0.091297,-0.009655
