"","readxrating","sharexrating"
"1",0.048708,0.085445
"2",0.075256,0.050461
"3",-0.02332,-0.066516
"4",0.077068,-0.00030281
"5",0.090716,0.068214
"6",0.064364,0.010098
"7",0.045117,0.088587
"8",0.13547,0.27795
"9",0.02857,0.068016
"10",0.013993,0.035931
"11",0.092481,0.087081
"12",0.060268,-0.11757
"13",0.037906,0.032067
"14",0.10574,-0.047621
"15",0.097429,0.024016
"16",0.039766,0.076742
"17",0.061269,0.1581
"18",0.061539,0.05737
"19",0.0082389,0.09761
"20",0.013665,0
"21",0.036743,-0.028995
"22",0.060913,-0.04391
"23",-0.016204,0.055755
"24",0.0062048,-0.032265
"25",0.16252,-0.022799
"26",-0.0094819,0.010637
"27",-0.19965,-0.018451
"28",0.032667,0.1118
"29",-0.035447,0.10848
"30",0.18224,0.18334
"31",0.12636,0.21826
"32",0.0064232,-0.049528
"33",0.0049374,0.0064095
"34",0.096221,0.053957
"35",0.12027,0.12754
"36",0.16499,-0.040416
"37",0.0145,0.4311
"38",0.13413,0.12934
"39",0.13369,0
"40",0.10283,0.099459
"41",0.095643,-0.0035999
