"","readxrating","sharexrating"
"1",-0.060931,0.2625
"2",0.060788,0.0093143
"3",-0.019015,-0.073672
"4",0.085917,-0.023104
"5",-0.047282,0.037397
"6",0.054355,0.041387
"7",0.059138,0.088311
"8",-0.11061,0.51495
"9",0.097801,-0.042058
"10",-0.0011881,0.011901
"11",0.070069,0.036855
"12",0.0073545,-0.13852
"13",0.060677,0.093133
"14",0.028927,-0.044648
"15",0.11711,0.010507
"16",0.22105,0.014814
"17",0.11229,0.08919
"18",0.047676,0.041065
"19",-0.055942,0.18851
"20",-0.057978,0
"21",0.08166,0.13463
"22",0.011813,-0.10915
"23",0.03875,-0.019807
"24",0.0099625,0.079016
"25",0.072423,0.01965
"26",-0.02274,0.0039208
"27",-0.074455,-0.021626
"28",0.021555,0.0783
"29",-0.01314,0.13815
"30",0.070787,0.15592
"31",0.13271,0.15825
"32",-0.053681,-0.031958
"33",-0.018057,-0.11403
"34",0.27578,0.025931
"35",0.186,0.17129
"36",0.11363,-0.018371
"37",-0.10462,0.62013
"38",0.1337,0.066324
"39",0.073104,0
"40",0.075484,0.078588
"41",0.080937,-0.02409
