"","readxrating","sharexrating"
"1",0.015329,0.080986
"2",0.028257,0.030759
"3",-0.022946,-0.075602
"4",0.064152,-0.02365
"5",0.086311,0.0052374
"6",0.03129,0.026735
"7",0.076443,0.091378
"8",-0.0079701,0.1431
"9",0.014213,0.079696
"10",0.009366,0.036433
"11",0.11991,0.05837
"12",0.066324,-0.074479
"13",0.041477,0.0077213
"14",0.094247,0.026816
"15",0.066934,-0.0024186
"16",0.071745,0.016096
"17",0.077616,0.094426
"18",0.077436,0.055523
"19",0.019252,0.08314
"20",0.034898,0
"21",0.032161,0.035372
"22",0.023386,-0.02889
"23",-0.0055989,-0.064469
"24",-8.6297e-05,-0.0041732
"25",0.10653,-0.040976
"26",0.01439,0.02141
"27",-0.10278,-0.00097617
"28",0.021815,0.083784
"29",0.0059233,0.10034
"30",0.13301,0.14364
"31",0.12989,0.19132
"32",0.0091236,-0.027455
"33",-0.010633,0.032895
"34",0.083896,0.02944
"35",0.061767,0.10329
"36",0.05124,-0.032838
"37",0.001118,0.25147
"38",0.071811,0.07635
"39",0.14332,0
"40",0.069541,0.047945
"41",0.075914,0.021134
