"","readxrating","sharexrating"
"1",0.01819,0.11737
"2",0.013835,0.025698
"3",-0.025157,-0.12089
"4",0.059963,-0.049201
"5",0.10285,0.02952
"6",0.043437,0.017706
"7",0.10917,0.10924
"8",0.073933,0.15181
"9",0.02373,0.088304
"10",0.034175,0.065669
"11",0.15093,0.093555
"12",0.080189,-0.082041
"13",0.051052,-0.01369
"14",0.12877,-0.016303
"15",0.092229,-0.008619
"16",0.14611,-0.016879
"17",0.1184,0.13977
"18",0.091253,0.067745
"19",0.018461,0.13133
"20",0.060889,0
"21",0.039198,0.053259
"22",0.043543,-0.047502
"23",-0.025075,-0.066414
"24",-0.00040249,0.023596
"25",0.14706,-0.031069
"26",0.0079441,0.021316
"27",-0.15958,-0.028811
"28",0.034443,0.099953
"29",0.041671,0.13577
"30",0.1879,0.16503
"31",0.16144,0.26461
"32",-0.012246,-0.033839
"33",-0.010841,0.028423
"34",0.092598,0.049272
"35",0.057337,0.13932
"36",0.1162,-0.017979
"37",0.012951,0.31469
"38",0.091965,0.07648
"39",0.20246,0
"40",0.10182,0.074765
"41",0.10775,0.016051
