"","readxrating","sharexrating"
"1",0.012064,0.039462
"2",0.044671,0.036518
"3",-0.019953,-0.014329
"4",0.068829,0.0048713
"5",0.062878,-0.029168
"6",0.01644,0.037774
"7",0.035025,0.068765
"8",-0.1024,0.13305
"9",0.0028204,0.069392
"10",-0.02275,-0.0014144
"11",0.082542,0.015977
"12",0.049185,-0.065131
"13",0.028399,0.036964
"14",0.05602,0.074564
"15",0.039045,0.0044175
"16",-0.011724,0.05311
"17",0.025579,0.036564
"18",0.060257,0.040327
"19",0.02022,0.024126
"20",0.003608,0
"21",0.023782,0.014072
"22",-0.0037624,-0.0038218
"23",0.023655,-0.061546
"24",0.00034293,-0.041869
"25",0.052929,-0.054078
"26",0.023071,0.021536
"27",-0.038961,0.030293
"28",0.003679,0.060564
"29",-0.037226,0.057567
"30",0.055966,0.11362
"31",0.092983,0.10558
"32",0.035507,-0.019574
"33",-0.010347,0.039061
"34",0.073344,0.0053895
"35",0.065847,0.070112
"36",0.00033555,-0.044483
"37",-0.013084,0.1756
"38",0.047737,0.076194
"39",0.071293,0
"40",0.029203,0.014427
"41",0.034234,0.027789
